id,rehearsal,owner,threshold,status,question,passEvidence,failRoute
OGR-011,Owner go/no-go rehearsal for Provider,Provider access owner,P0/P1 accepted or held with owner reason,Hold,Can Provider move forward after the stress drill?,"Accepted private note proving provider asks for real records has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-012,Owner go/no-go rehearsal for Decidim build,Technical/admin custodian,P0/P1 accepted or held with owner reason,Hold,Can Decidim build move forward after the stress drill?,"Accepted private note proving backup restore cannot be proven has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-013,Owner go/no-go rehearsal for Access,Technical/admin custodian,P0/P1 accepted or held with owner reason,Hold,Can Access move forward after the stress drill?,"Accepted private note proving role revoke fails has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-014,Owner go/no-go rehearsal for Training,Community admin trainer,P0/P1 accepted or held with owner reason,Hold,Can Training move forward after the stress drill?,"Accepted private note proving admin handoff before training has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-015,Owner go/no-go rehearsal for Meeting,Meeting chair,P0/P1 accepted or held with owner reason,Hold,Can Meeting move forward after the stress drill?,"Accepted private note proving private minutes accidentally public has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-016,Owner go/no-go rehearsal for Dean review,Pilot owner,P1 public-safe acceptance,Ready,Can Dean review move forward after the stress drill?,"Accepted private note proving advisory comment treated as approval has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-017,Owner go/no-go rehearsal for Comms,Comms lead,P1 public-safe acceptance,Ready,Can Comms move forward after the stress drill?,"Accepted private note proving public wording implies launch has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-018,Owner go/no-go rehearsal for Closeout,Closeout archivist,P1 public-safe acceptance,Ready,Can Closeout move forward after the stress drill?,"Accepted private note proving no-go route ignored has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-019,Owner go/no-go rehearsal for Build handoff,Pilot owner,P1 public-safe acceptance,Ready,Can Build handoff move forward after the stress drill?,"Accepted private note proving ticket scope implies real launch has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-020,Owner go/no-go rehearsal for Provider,Provider access owner,P1 public-safe acceptance,Ready,Can Provider move forward after the stress drill?,"Accepted private note proving RFQ scope expands after response has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-021,Owner go/no-go rehearsal for Build handoff,Technical/admin custodian,P1 public-safe acceptance,Ready,Can Build handoff move forward after the stress drill?,"Accepted private note proving manual issue fallback unavailable has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-022,Owner go/no-go rehearsal for QA,Accessibility reviewer,P1 public-safe acceptance,Ready,Can QA move forward after the stress drill?,"Accepted private note proving mobile or keyboard flow fails has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
